Count,AAPST,Splay,BST
0,5.78,5.61,15.54
5000000,5.73,5.60,15.54
10000000,5.72,5.60,15.54
15000000,5.72,5.61,15.54
20000000,5.70,5.60,15.54
25000000,5.70,5.61,15.54
30000000,5.70,5.60,15.54
35000000,5.70,5.61,15.54
40000000,5.69,5.60,15.54
45000000,5.69,5.60,15.54
50000000,5.69,5.60,15.54
55000000,5.69,5.61,15.54
60000000,5.70,5.61,15.54
65000000,5.68,5.60,15.54
70000000,5.69,5.61,15.54
75000000,5.68,5.60,15.54
80000000,5.69,5.61,15.54
85000000,5.69,5.61,15.54
90000000,5.68,5.61,15.54
95000000,5.69,5.61,15.54
100000000,5.69,5.61,15.54
105000000,5.68,5.61,15.54
110000000,5.69,5.61,15.54
115000000,5.68,5.61,15.54
120000000,5.68,5.61,15.54
125000000,5.68,5.61,15.54
130000000,5.68,5.60,15.54
135000000,5.68,5.60,15.54
140000000,5.68,5.61,15.54
145000000,5.68,5.60,15.54
150000000,5.68,5.61,15.54
155000000,5.68,5.61,15.54
160000000,5.68,5.61,15.54
165000000,5.68,5.60,15.54
170000000,5.67,5.60,15.54
175000000,5.68,5.61,15.54
180000000,5.68,5.61,15.54
185000000,5.68,5.60,15.54
190000000,5.68,5.61,15.54
195000000,5.68,5.61,15.54
200000000,5.68,5.60,15.54
205000000,5.68,5.60,15.54
210000000,5.67,5.60,15.54
215000000,5.68,5.60,15.54
220000000,5.68,5.61,15.54
225000000,5.68,5.61,15.54
230000000,5.68,5.60,15.54
235000000,5.68,5.61,15.54
240000000,5.68,5.61,15.54
245000000,5.68,5.61,15.54
250000000,5.67,5.60,15.54
255000000,5.68,5.60,15.54
260000000,5.67,5.60,15.54
265000000,5.67,5.60,15.54
270000000,5.68,5.61,15.54
275000000,5.67,5.60,15.54
280000000,5.67,5.60,15.54
285000000,5.68,5.61,15.54
290000000,5.67,5.60,15.54
295000000,5.68,5.61,15.54
300000000,5.68,5.61,15.54
305000000,5.68,5.61,15.54
310000000,5.67,5.60,15.54
315000000,5.67,5.60,15.54
320000000,5.68,5.61,15.54
325000000,5.68,5.61,15.54
330000000,5.67,5.60,15.54
335000000,5.68,5.61,15.54
340000000,5.67,5.61,15.54
345000000,5.68,5.61,15.54
350000000,5.68,5.61,15.54
355000000,5.67,5.61,15.54
360000000,5.68,5.61,15.54
365000000,5.68,5.61,15.54
370000000,5.68,5.61,15.54
375000000,5.67,5.60,15.54
380000000,5.68,5.61,15.54
385000000,5.68,5.61,15.54
390000000,5.67,5.60,15.54
395000000,5.67,5.61,15.54
400000000,5.67,5.60,15.54
405000000,5.67,5.61,15.54
410000000,5.68,5.61,15.54
415000000,5.67,5.61,15.54
420000000,5.67,5.60,15.54
425000000,5.68,5.61,15.54
430000000,5.67,5.61,15.54
435000000,5.68,5.61,15.54
440000000,5.67,5.60,15.54
445000000,5.67,5.61,15.54
450000000,5.67,5.61,15.54
455000000,5.67,5.61,15.54
460000000,5.67,5.60,15.54
465000000,5.67,5.60,15.54
470000000,5.67,5.60,15.54
475000000,5.67,5.60,15.54
480000000,5.67,5.60,15.54
485000000,5.67,5.60,15.54
490000000,5.67,5.60,15.54
495000000,5.67,5.61,15.54
500000000,5.67,5.61,15.54
505000000,5.67,5.61,15.54
510000000,5.67,5.60,15.54
515000000,5.67,5.61,15.54
520000000,5.68,5.61,15.54
525000000,5.67,5.61,15.54
530000000,5.67,5.61,15.54
535000000,5.68,5.61,15.54
540000000,5.67,5.61,15.54
545000000,5.68,5.61,15.54
550000000,5.67,5.61,15.54
555000000,5.68,5.61,15.54
560000000,5.67,5.61,15.54
565000000,5.67,5.61,15.54
570000000,5.67,5.60,15.54
575000000,5.68,5.61,15.54
580000000,5.68,5.61,15.54
585000000,5.67,5.61,15.54
590000000,5.67,5.60,15.54
595000000,5.67,5.61,15.54
600000000,5.67,5.60,15.54
605000000,5.67,5.60,15.54
610000000,5.67,5.61,15.54
615000000,5.68,5.62,15.54
620000000,5.67,5.61,15.54
625000000,5.67,5.61,15.54
630000000,5.67,5.61,15.54
635000000,5.67,5.60,15.54
640000000,5.67,5.61,15.54
645000000,5.67,5.60,15.54
650000000,5.68,5.61,15.54
655000000,5.67,5.60,15.54
660000000,5.67,5.61,15.54
665000000,5.67,5.60,15.54
670000000,5.68,5.61,15.54
675000000,5.68,5.61,15.54
680000000,5.68,5.61,15.54
685000000,5.67,5.61,15.54
690000000,5.67,5.60,15.54
695000000,5.67,5.60,15.54
700000000,5.67,5.60,15.54
705000000,5.67,5.61,15.54
710000000,5.67,5.60,15.54
715000000,5.67,5.61,15.54
720000000,5.67,5.60,15.54
725000000,5.67,5.61,15.54
730000000,5.67,5.61,15.54
735000000,5.68,5.61,15.54
740000000,5.68,5.61,15.54
745000000,5.67,5.61,15.54
750000000,5.68,5.61,15.54
755000000,5.67,5.60,15.54
760000000,5.67,5.61,15.54
765000000,5.67,5.60,15.54
770000000,5.67,5.61,15.54
775000000,5.67,5.60,15.54
780000000,5.67,5.60,15.54
785000000,5.67,5.61,15.54
790000000,5.67,5.61,15.54
795000000,5.67,5.60,15.54
800000000,5.67,5.61,15.54
805000000,5.67,5.61,15.54
810000000,5.67,5.60,15.54
815000000,5.68,5.61,15.54
820000000,5.67,5.61,15.54
825000000,5.67,5.60,15.54
830000000,5.67,5.61,15.54
835000000,5.67,5.61,15.54
840000000,5.67,5.61,15.54
845000000,5.67,5.61,15.54
850000000,5.67,5.60,15.54
855000000,5.67,5.60,15.54
860000000,5.67,5.61,15.54
865000000,5.67,5.61,15.54
870000000,5.67,5.60,15.54
875000000,5.67,5.61,15.54
880000000,5.66,5.60,15.54
885000000,5.67,5.60,15.54
890000000,5.67,5.60,15.54
895000000,5.67,5.60,15.54
900000000,5.67,5.60,15.54
905000000,5.67,5.61,15.54
910000000,5.67,5.61,15.54
915000000,5.67,5.60,15.54
920000000,5.68,5.61,15.54
925000000,5.67,5.60,15.54
930000000,5.67,5.61,15.54
935000000,5.67,5.60,15.54
940000000,5.67,5.61,15.54
945000000,5.66,5.60,15.54
950000000,5.68,5.61,15.54
955000000,5.67,5.61,15.54
960000000,5.67,5.61,15.54
965000000,5.67,5.61,15.54
970000000,5.68,5.61,15.54
