Count,AAPST,Splay,BST
0,45,69,17
5000000,42,67,17
10000000,43,63,17
15000000,41,65,17
20000000,41,69,17
25000000,41,63,17
30000000,42,69,17
35000000,41,69,17
40000000,42,67,17
45000000,40,65,17
50000000,40,65,17
55000000,40,65,17
60000000,40,69,17
65000000,40,67,17
70000000,40,65,17
75000000,41,65,17
80000000,41,65,17
85000000,41,67,17
90000000,40,65,17
95000000,40,65,17
100000000,40,65,17
105000000,40,65,17
110000000,40,67,17
115000000,40,67,17
120000000,39,65,17
125000000,41,67,17
130000000,40,69,17
135000000,39,69,17
140000000,39,69,17
145000000,40,71,17
150000000,40,75,17
155000000,40,69,17
160000000,40,63,17
165000000,40,67,17
170000000,40,67,17
175000000,39,65,17
180000000,39,71,17
185000000,39,67,17
190000000,39,63,17
195000000,40,73,17
200000000,39,69,17
205000000,39,69,17
210000000,40,65,17
215000000,40,67,17
220000000,39,63,17
225000000,40,69,17
230000000,39,69,17
235000000,40,65,17
240000000,39,67,17
245000000,40,67,17
250000000,39,67,17
255000000,40,63,17
260000000,39,65,17
265000000,42,65,17
270000000,40,65,17
275000000,39,63,17
280000000,39,65,17
285000000,39,67,17
290000000,39,65,17
295000000,40,67,17
300000000,41,65,17
305000000,40,65,17
310000000,40,65,17
315000000,39,65,17
320000000,39,71,17
325000000,39,63,17
330000000,41,65,17
335000000,41,65,17
340000000,40,65,17
345000000,39,69,17
350000000,39,71,17
355000000,39,71,17
360000000,39,71,17
365000000,40,65,17
370000000,39,73,17
375000000,39,67,17
380000000,39,69,17
385000000,39,67,17
390000000,39,69,17
395000000,39,69,17
400000000,39,65,17
405000000,39,71,17
410000000,38,65,17
415000000,39,65,17
420000000,40,65,17
425000000,40,67,17
430000000,40,65,17
435000000,39,69,17
440000000,39,67,17
445000000,39,65,17
450000000,39,67,17
455000000,39,67,17
460000000,39,71,17
465000000,39,65,17
470000000,39,65,17
475000000,39,65,17
480000000,38,63,17
485000000,39,71,17
490000000,39,69,17
495000000,40,67,17
500000000,38,69,17
505000000,39,73,17
510000000,40,67,17
515000000,39,67,17
520000000,39,69,17
525000000,39,65,17
530000000,39,67,17
535000000,39,69,17
540000000,39,67,17
545000000,39,67,17
550000000,38,67,17
555000000,39,67,17
560000000,38,71,17
565000000,39,63,17
570000000,38,63,17
575000000,39,65,17
580000000,38,69,17
585000000,39,69,17
590000000,40,69,17
595000000,39,63,17
600000000,38,67,17
605000000,39,67,17
610000000,38,65,17
615000000,39,67,17
620000000,39,69,17
625000000,39,65,17
630000000,38,67,17
635000000,39,67,17
640000000,40,71,17
645000000,39,65,17
650000000,39,69,17
655000000,39,65,17
660000000,39,67,17
665000000,39,67,17
670000000,39,67,17
675000000,39,67,17
680000000,39,67,17
685000000,39,67,17
690000000,38,67,17
695000000,38,71,17
700000000,40,65,17
705000000,39,69,17
710000000,40,65,17
715000000,39,63,17
720000000,39,65,17
725000000,39,65,17
730000000,39,67,17
735000000,39,65,17
740000000,39,65,17
745000000,39,65,17
750000000,39,65,17
755000000,38,67,17
760000000,38,67,17
765000000,39,67,17
770000000,39,63,17
775000000,39,65,17
780000000,39,67,17
785000000,39,67,17
790000000,39,71,17
795000000,39,65,17
800000000,40,65,17
805000000,39,71,17
810000000,38,69,17
815000000,39,65,17
820000000,38,69,17
825000000,39,67,17
830000000,39,67,17
835000000,38,69,17
840000000,39,65,17
845000000,39,69,17
850000000,38,65,17
855000000,39,65,17
860000000,40,65,17
865000000,39,65,17
870000000,39,69,17
875000000,39,65,17
880000000,39,67,17
885000000,39,65,17
890000000,39,67,17
895000000,38,65,17
900000000,40,63,17
905000000,39,69,17
910000000,39,69,17
915000000,38,65,17
920000000,39,69,17
925000000,39,69,17
930000000,38,65,17
935000000,39,65,17
940000000,38,67,17
945000000,39,67,17
950000000,39,65,17
955000000,40,65,17
960000000,39,65,17
965000000,38,65,17
970000000,38,67,17
975000000,39,65,17
980000000,38,67,17
985000000,39,69,17
990000000,39,67,17
995000000,39,67,17
